,xml,x,y,defocus,JPG,atlas_path,mic_path,scale,angle,offset_x,offset_y
21,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693197_Data_23694760_5_20250923_144822.xml,254.74706052885008,-124.43178510513546,-2.0,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693197_Data_23694760_5_20250923_144822.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
22,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693197_Data_23694769_5_20250923_144827.xml,254.98557623720228,-123.90797479253676,-2.0,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693197_Data_23694769_5_20250923_144827.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
23,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693197_Data_23694815_5_20250923_144832.xml,254.34424088221004,-124.00599341516974,-2.0,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693197_Data_23694815_5_20250923_144832.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
24,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693198_Data_23694760_20_20250923_144838.xml,256.3293351141868,-123.06441857902479,-0.7999999999999999,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693198_Data_23694760_20_20250923_144838.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
25,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693198_Data_23694769_20_20250923_144843.xml,256.5678874761759,-122.54165575438104,-0.7999999999999999,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693198_Data_23694769_20_20250923_144843.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
26,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693198_Data_23694815_20_20250923_144848.xml,255.92565235810355,-122.64180302046344,-0.7999999999999999,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693198_Data_23694815_20_20250923_144848.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
27,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693234_Data_23694760_14_20250923_144854.xml,253.36558479501045,-122.81473896064723,-1.0,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693234_Data_23694760_14_20250923_144854.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
28,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693234_Data_23694769_14_20250923_144859.xml,253.6031278752353,-122.29096274209729,-1.0,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693234_Data_23694769_14_20250923_144859.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
29,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693234_Data_23694815_14_20250923_144904.xml,252.96280172304245,-122.38999463226845,-1.0,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693234_Data_23694815_14_20250923_144904.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
30,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693235_Data_23694760_21_20250923_144910.xml,254.93630732147446,-121.43711239305804,-1.2,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693235_Data_23694760_21_20250923_144910.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
31,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693235_Data_23694769_21_20250923_144915.xml,255.17482310879086,-120.91330220682893,-1.2,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693235_Data_23694769_21_20250923_144915.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
32,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693235_Data_23694815_21_20250923_144920.xml,254.5325512581172,-121.01240185858536,-1.2,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693235_Data_23694815_21_20250923_144920.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
33,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693268_Data_23694760_25_20250923_144941.xml,250.41795034957707,-122.55946034118371,-1.5,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693268_Data_23694760_25_20250923_144941.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
34,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693268_Data_23694769_25_20250923_144946.xml,250.65552981495347,-122.03673125122417,-1.5,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693268_Data_23694769_25_20250923_144946.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
35,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693268_Data_23694815_25_20250923_144952.xml,250.0142309872611,-122.1357970893341,-1.5,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693268_Data_23694815_25_20250923_144952.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
36,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693271_Data_23694760_60_20250923_144957.xml,255.1304991172683,-118.46156173955839,-1.5999999999999999,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693271_Data_23694760_60_20250923_144957.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
37,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693271_Data_23694769_60_20250923_145002.xml,255.3670695852102,-117.93781907802276,-1.5999999999999999,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693271_Data_23694769_60_20250923_145002.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
38,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693271_Data_23694815_60_20250923_145007.xml,254.727716013741,-118.03681707947742,-1.5999999999999999,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693271_Data_23694815_60_20250923_145007.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
39,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693298_Data_23694760_50_20250923_144925.xml,247.44916743926066,-122.29288237524128,-1.4,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693298_Data_23694760_50_20250923_144925.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
40,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693298_Data_23694769_50_20250923_144931.xml,247.6867103615563,-121.76910590395431,-1.4,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693298_Data_23694769_50_20250923_144931.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
41,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693298_Data_23694815_50_20250923_144936.xml,247.0454113759032,-121.8681718407686,-1.4,C:\Users\jakob\Desktop\CryoCrane\CryoCrane_test\GridSquare_23671647\Data\FoilHole_23693298_Data_23694815_50_20250923_144936.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test/Atlas_23671188.tiff,C:/Users/jakob/Desktop/CryoCrane/CryoCrane_test,910.0,182.0,11.0,-3.0
